"","Date","Tag","Replacement","Area","Growth","Num"
"1",2014-07-15,"W4444",TRUE,52.35,NA,1
"2",2014-07-15,"Gr5151",TRUE,NA,NA,2
"3",2014-07-15,"Or1111",FALSE,69.98,3.46,3
"4",2014-07-15,"Or99",FALSE,68.41,1.83,4
"5",2014-07-15,"W1717",FALSE,76.88,1.41,5
"6",2014-07-15,"B1212",FALSE,61.99,1.19,6
"7",2014-07-15,"B1313",FALSE,68.79,-0.18,7
"8",2014-07-15,"Gr5252",FALSE,93.33,-0.79,8
"9",2014-08-11,"W4444",FALSE,53.94,1.59,1
"10",2014-08-11,"Or77",TRUE,NA,NA,2
"11",2014-08-11,"Or1111",FALSE,69.3,-0.68,3
"12",2014-08-11,"Gr55",FALSE,69.6,1.19,4
"13",2014-08-11,"W1717",FALSE,79,2.12,5
"14",2014-08-11,"B1212",FALSE,65.81,3.82,6
"15",2014-08-11,"B1313",FALSE,68.29,-0.5,7
"16",2014-08-11,"Gr5252",FALSE,96.26,2.93,8
"17",2014-08-11,"W4444",FALSE,52.72,-1.22,1
"18",2014-08-11,"Gr3535",TRUE,67.67,NA,2
"19",2014-08-11,"Or1111",FALSE,70.37,1.07,3
"20",2014-08-11,"Gr55",FALSE,66.26,-3.34,4
"21",2014-08-11,"W1717",FALSE,77.26,-1.74,5
"22",2014-08-11,"B2727",FALSE,66.9,1.09,6
"23",2014-08-11,"B1313",FALSE,70.55,2.26,7
"24",2014-08-11,"Or8686",FALSE,91.96,-4.3,8
"25",2014-09-08,"W4444",FALSE,54.88,2.16,1
"26",2014-09-08,"Gr3535",FALSE,67.04,-0.63,2
"27",2014-09-08,"Or1111",FALSE,69.55,-0.82,3
"28",2014-09-08,"Gr55",FALSE,67.45,1.19,4
"29",2014-09-08,"Or3636",FALSE,79.26,2,5
"30",2014-09-08,"B2727",FALSE,63.96,-2.94,6
"31",2014-09-08,"B1313",FALSE,71.53,0.98,7
"32",2014-09-08,"Or8686",FALSE,95.55,3.59,8
"33",2014-10-08,"W4444",FALSE,54.1,-0.78,1
"34",2014-10-08,"Gr3535",FALSE,66.09,-0.95,2
"35",2014-10-08,"Gr1717",FALSE,69.17,-0.38,3
"36",2014-10-08,"W44",TRUE,93.55,NA,4
"37",2014-10-08,"Or3636",FALSE,79.22,-0.04,5
"38",2014-10-08,"B2727",FALSE,62.04,-1.92,6
"39",2014-10-08,"B1313",FALSE,68.76,-2.77,7
"40",2014-10-08,"Or8686",FALSE,95.59,0.04,8
"41",2014-11-03,"W4444",FALSE,53.15,-0.95,1
"42",2014-11-03,"Or5151",TRUE,61.96,NA,2
"43",2014-11-03,"Gr1717",FALSE,72.03,2.86,3
"44",2014-11-03,"W44",FALSE,94.06,0.51,4
"45",2014-11-03,"Or3636",FALSE,75.53,-3.69,5
"46",2014-11-03,"B2121",TRUE,NA,NA,6
"47",2014-11-03,"B2222",TRUE,52.94,NA,7
"48",2014-11-03,"Gr2424",TRUE,NA,NA,8
"49",2014-12-04,"W4444",FALSE,53.61,0.46,1
"50",2014-12-04,"Or5151",FALSE,65.32,3.36,2
"51",2014-12-04,"Gr1717",FALSE,72.71,0.68,3
"52",2014-12-04,"W44",FALSE,93.7,-0.36,4
"53",2014-12-04,"Or3636",FALSE,77.02,1.49,5
"54",2014-12-04,"Bmissingmissing",TRUE,NA,NA,6
"55",2014-12-04,"Bno tagno tag",FALSE,55.71,2.77,7
"56",2014-12-04,"Grmissingmissing",TRUE,NA,NA,8
